variance,skewness,curtosis,entropy,class
-2.7619,-4.8319,1.325,6.058,0
1.3277,4.0004,2.1304,-3.6503,0
-7.3372,-1.3702,7.7259,-6.1696,0
3.8719,1.7501,0.0602,-9.4867,0
-8.6547,-9.6405,-2.5317,-4.1977,0
-4.1487,-7.5215,-5.5685,-8.078,0
-0.2937,-4.0449,6.2174,-5.9349,0
0.6899,0.7487,6.4063,2.9764,0
8.4028,-0.0889,1.3653,-9.4756,1
-2.8852,-3.5948,0.4931,4.679,0
-4.3323,1.4894,1.0866,-5.3907,0
3.7328,-5.8262,4.8232,9.9592,0
1.7674,7.7096,-1.0042,-2.0529,1
-3.7545,-1.2109,4.654,9.8413,1
-5.5985,3.8905,6.4133,7.4138,0
8.8201,-2.3363,8.3149,5.6204,1
-0.2012,0.9489,-3.447,-5.1052,0
-7.7003,-5.5124,-8.8767,0.5271,0
-3.9702,9.4229,-9.9717,-4.8674,0
-0.1883,7.3668,5.3856,1.5298,0
2.2795,0.4686,8.3103,7.4244,1
1.2118,2.2261,-8.0204,-9.5388,1
2.0866,-5.4761,-0.0325,-1.8887,1
2.6877,-5.4363,-1.8889,-8.0208,1
-4.171,5.4275,7.9299,-5.847,0
5.1659,-7.4798,-0.5529,7.9696,0
7.8668,-5.1956,9.9886,1.7093,0
6.5834,2.0772,7.5609,8.0795,1
8.3599,-9.4303,6.9096,-5.6553,0
9.7736,-4.1557,8.78,2.1329,1
-7.7373,-7.486,8.3383,-8.5432,1
-0.2316,2.3697,7.1306,-5.1096,0
-8.8413,8.2799,-7.3135,-8.0401,0
-7.1736,6.9287,6.2458,0.1586,0
-8.5335,2.0771,8.2453,3.4384,0
-9.8113,8.6108,1.8164,6.4801,0
3.4965,-5.141,7.9076,7.5766,1
9.2027,2.9528,-2.9484,2.1784,0
-8.7748,-6.1693,7.9246,4.493,0
-3.4948,-6.6175,7.8715,-4.9111,1
0.4025,7.1644,8.1816,2.2844,0
-0.4325,-1.5838,5.8431,-5.7096,0
-2.4398,-2.9796,-7.4788,-6.729,1
-8.2079,3.2407,6.6897,2.1126,0
6.2704,7.0695,9.8973,-7.0737,1
-8.7276,-9.3672,-2.1419,2.3203,0
7.4513,-8.7724,2.5628,-6.4169,1
4.6817,1.513,-4.8154,9.57,1
-4.4142,-5.0445,4.8512,-7.0063,1
-6.4029,3.0961,-6.0085,2.5545,1
0.4054,-8.9286,-9.269,-7.3021,0
5.2809,5.2089,7.1317,1.5769,1
6.1918,-9.507,-9.8678,0.8105,1
-8.7663,1.1395,-7.3415,5.4,1
0.388,9.0928,9.0271,5.9145,1
-6.687,3.0949,-2.2469,2.7386,1
-4.4585,1.8899,-2.7316,6.8889,0
-6.9115,0.1722,7.0444,4.4706,1
3.3228,-4.4917,1.9085,-3.2598,1
0.9367,1.1702,9.2024,5.2401,0
-8.1958,-6.3386,5.7921,-3.111,0
-6.4618,-0.4992,-4.593,-5.8431,1
-8.6398,-4.827,6.035,6.9408,0
1.6121,-0.8187,9.1639,4.2434,1
-9.5745,-7.32,4.4114,7.5949,1
-1.306,0.3077,1.0392,-1.053,1
2.9506,-0.1345,-1.5914,2.4134,0
4.1786,-9.7352,-9.6149,4.9527,1
-3.557,7.3741,-1.8355,-9.5062,1
-3.7232,2.8639,-3.7024,-0.8387,0
3.2161,-6.8058,-0.5321,-5.615,0
-4.7154,0.4598,4.116,1.2746,1
1.6938,0.545,-0.9697,6.7087,1
-2.067,4.3681,-3.7834,-7.7548,1
2.7062,-0.6067,-1.0111,-2.1775,0
3.5634,0.5378,6.0048,-3.9768,1
8.8642,9.1077,-1.1539,-3.4216,0
1.5123,-0.7795,5.5862,4.2094,0
-8.4081,-3.5723,-5.6628,9.3907,0
-9.522,7.4637,4.5412,0.4702,1
-1.7143,-6.8952,-3.1712,-9.4178,1
-5.3145,5.7112,7.4268,0.805,1
-1.6451,-3.0208,1.3221,0.7882,0
0.8303,4.3663,7.4574,5.1805,1
-7.2363,-4.1449,-7.0995,-4.8654,0
8.5415,6.8822,-5.1365,-1.6347,1
1.4224,-2.5291,-7.1879,-0.5235,0
1.4692,3.4687,9.6064,5.7,1
4.392,8.3141,-5.7436,-7.9695,0
1.1166,-7.4851,1.2878,-6.3928,0
-2.589,3.7843,4.8354,-4.3342,0
-3.392,-9.7304,3.4669,1.5462,1
8.4186,-9.9779,-5.7334,-8.4574,0
-1.1201,-0.1203,3.8993,0.8817,1
5.2075,4.7904,-2.2638,9.9481,0
-8.4934,5.1359,-9.5802,4.286,0
6.0678,7.5828,-2.2114,-5.6818,1
-6.0669,-6.8308,3.1028,1.4718,1
6.838,-1.0653,-7.9433,5.9103,0
-7.3509,-8.5905,-1.7993,0.1501,1
7.3282,-4.1057,-5.8042,-7.5871,0
1.8329,6.0311,8.7908,5.3955,0
1.9113,7.3977,0.8967,2.4337,0
-9.8939,-2.96,-8.866,8.597,0
8.4619,5.6625,7.4755,-8.369,0
-4.7405,-7.7878,-7.4357,-5.729,0
6.6537,-5.9992,-0.2658,-4.5643,0
-4.1249,1.6393,-1.4628,-6.7818,1
0.6427,7.1888,1.3675,-4.0025,1
-7.0053,-0.9558,7.7838,-5.7248,0
-7.2698,-5.1531,-4.465,7.9295,1
6.5511,-3.9498,-3.9267,-2.8619,1
9.6541,-0.7278,2.2725,4.4458,1
-1.7276,-8.1889,-1.8997,6.1681,1
0.9825,9.5812,-7.1127,4.6403,0
2.259,2.7135,4.9709,-3.2356,1
2.429,1.7832,-7.0429,-5.9018,1
-1.6538,-2.6228,-9.1147,-3.6695,1
-7.9679,8.3047,5.9962,6.0882,1
9.7404,9.1012,-8.03,2.296,1
2.5397,3.2548,7.0927,-0.4182,0
-4.8162,-2.2925,-0.6455,-7.185,0
9.7613,-2.1542,0.1982,8.0325,1
4.7748,0.9301,1.8914,-1.8636,0
1.7104,-5.7081,0.2531,3.2154,1
-5.1652,-4.1906,-9.2325,0.5381,1
-0.1245,-1.142,8.6128,4.2069,1
5.5367,-1.2893,-7.0933,-2.6534,1
-5.0523,2.3549,-3.3682,-7.3452,1
-8.954,-8.1019,-4.4546,-6.0557,1
-0.9894,4.4329,-2.8488,-1.3404,1
8.8379,-3.5714,-5.2326,-4.8229,0
-3.2038,1.2763,-0.3397,9.4796,1
6.4832,-9.5614,8.7814,7.7779,1
-2.1304,9.5545,-2.3784,-1.0974,1
-1.5743,7.4676,3.8444,-8.3268,0
6.8473,-8.1218,-6.2767,-9.9863,0
-8.6862,8.3559,2.4654,-1.5291,1
1.6169,-5.2267,-7.2479,4.6882,1
-3.5048,5.3439,5.3637,2.2485,1
-4.2842,4.2016,2.7403,-0.4396,1
-1.9979,-2.5962,-9.3431,4.5862,1
-5.8854,2.2703,-6.3889,6.2068,1
-8.8863,3.4874,8.3335,1.7565,0
4.5881,-6.4488,-6.4503,-9.2397,0
-0.6018,-4.2571,-4.9743,-6.2152,1
-6.8409,1.5611,-1.6458,1.1513,0
-7.8862,-5.9393,-6.6721,-4.1082,1
-3.2178,6.2931,-3.9403,8.2364,0
-8.5831,4.4206,8.1768,-8.4468,1
5.5117,-9.6883,-8.6406,7.9954,1
8.0466,9.3664,-1.4074,-2.0546,0
0.5288,-3.1712,9.6418,1.6502,0
2.118,-0.7002,9.9635,0.708,0
3.4654,2.5402,-0.478,5.2071,0
4.6623,-9.566,-4.9701,-5.4331,0
-9.2144,-5.215,-6.259,0.0913,0
3.813,-1.7036,-3.6982,-7.866,1
0.0711,-0.3907,0.6171,5.8712,1
-3.4012,5.3915,1.5943,-6.4207,0
-1.4885,-3.4416,9.7912,-4.6104,0
6.3837,-5.1032,-2.9236,-5.5602,1
6.232,5.3184,-9.6408,8.6868,1
-2.357,-7.5756,-4.1719,8.3237,1
-1.9834,8.1505,4.9208,5.2562,1
-5.4957,-1.5448,3.1936,-7.1626,0
-1.4063,8.8454,6.3266,-1.2888,0
8.7566,-1.488,4.6808,-6.5901,1
-4.753,-5.8414,-0.7217,-4.3422,1
5.008,0.2148,-6.2938,8.5761,0
-1.0004,4.0159,7.1729,2.176,1
2.9576,-5.5154,-1.1119,3.0407,0
3.1072,8.7179,-7.5183,5.7367,1
5.4593,-6.2454,-0.8541,-4.102,1
-6.4698,-3.7123,-7.8853,-0.779,0
4.6599,-8.7328,-8.1982,3.145,1
4.5204,-2.8683,8.072,8.1491,1
0.7145,4.085,-3.2986,4.2098,0
5.7024,-5.4536,-8.9993,-4.7024,1
1.4629,7.6289,1.9012,3.3976,1
-3.9105,-7.1319,-6.0838,2.7696,0
5.53,-9.7527,-2.4182,3.4106,1
2.7819,8.9125,5.6132,-0.7615,0
3.8636,-4.4286,-7.5329,0.8647,1
-9.5996,3.684,-5.5918,3.5868,0
6.034,-6.6556,-8.285,6.068,0
6.8483,5.3435,-3.7588,-6.1784,1
9.9361,-8.4404,0.4819,6.5512,0
-0.7423,1.5448,-1.8652,7.973,0
4.3237,3.2524,4.6194,-8.4004,0
5.3746,-1.6541,-5.0296,9.5301,0
-5.3284,6.0581,8.6004,-9.4113,0
7.255,-2.6232,-0.3032,3.7106,0
6.2182,-9.9776,-0.725,5.7489,0
-5.1839,-8.6681,-6.4775,7.9535,0
5.5588,-4.0018,1.0074,-3.0773,1
-2.2918,-3.9072,7.23,-5.6425,0
7.9388,3.0851,6.857,6.0572,0
5.6458,-4.9046,0.023,4.1634,0
1.0518,7.2819,8.0858,-9.8012,0
8.331,0.3009,-6.3722,6.5215,0
3.3042,6.1815,-0.9116,5.8062,1
-3.9232,8.4968,4.5959,4.2571,0
4.0989,-0.0071,6.8506,8.1641,0
2.8123,-8.0356,3.2254,2.4025,1
0.2236,-5.0816,-3.5125,-6.064,0
9.821,0.0811,2.23,9.1342,1
2.4903,-7.421,-5.5925,8.2412,0
-3.0258,-8.62,0.2253,2.1811,1
-5.5535,-3.0467,-2.7837,3.1194,1
-5.5219,-9.7147,0.0812,0.9208,0
-2.6393,4.9558,9.4179,-7.4953,1
-2.1891,8.1527,2.6927,-2.7573,0
-8.304,7.3008,-3.6592,-4.0295,0
7.0443,-3.305,-3.0361,2.4124,0
-5.0917,2.4621,2.246,-6.4019,1
-6.1653,-3.0624,9.3785,-6.4423,1
0.9885,7.9553,6.6328,-8.2127,1
6.425,-2.3568,6.2179,3.8517,1
8.4898,-4.2328,2.9205,-4.7272,1
6.8211,-8.6778,-1.5717,3.8978,1
-6.3663,-1.524,-7.9667,-2.5421,1
-9.0289,5.9338,-0.7047,-3.6183,1
9.1983,-7.4286,-8.6043,-2.541,0
3.9843,1.0538,-1.5222,-9.7923,1
-5.0802,-5.8687,8.1178,4.3459,0
-0.8776,3.9392,3.7118,-9.6142,0
7.2368,3.6904,3.2026,2.6698,1
-1.8285,6.3519,0.7834,-5.4777,0
6.4037,-3.6758,-1.8876,9.9034,1
-6.6918,7.189,-7.0513,-9.842,0
7.7991,-7.6812,7.5677,-6.0529,0
-3.3598,-8.1451,-2.532,-0.4985,1
-5.9085,4.3141,-0.6712,-2.7643,0
-1.6119,-6.0639,9.4989,0.301,1
9.8346,-5.8573,-5.8994,4.1662,1
-8.3585,1.447,-7.0887,-1.186,1
7.0732,-6.3317,-1.0512,7.5519,1
2.9884,8.8146,1.4786,4.073,1
3.7622,-6.4961,3.0529,9.6256,1
5.6076,3.1645,9.8937,-9.2532,1
5.7524,3.0641,1.4746,2.0393,0
3.7871,9.6067,-6.7899,-0.9078,0
4.5745,9.6995,-3.0604,-6.3819,1
4.1758,-9.4236,9.619,-6.7019,0
6.8997,5.4972,-5.5406,-4.1513,0
0.8175,3.6017,8.0215,9.6459,1
2.1667,9.4724,-6.6277,-8.9903,1
5.117,9.1935,6.0412,9.1046,1
-9.5845,9.8785,-2.1935,7.897,1
-0.3341,7.7246,0.0653,3.1228,0
5.2369,-9.2223,6.3457,-8.4719,1
-7.5965,-5.4678,1.1103,6.2624,0
-0.6081,-7.6579,1.4807,-0.8719,0
-3.8323,8.9621,1.22,7.503,0
-6.4334,-4.8176,8.9773,-2.0067,0
-2.3195,-9.3034,6.7518,9.5948,0
-0.1117,1.1282,2.0158,7.5688,1
6.8577,4.9835,-3.1182,2.0953,0
-1.2615,-6.941,-9.826,-0.6086,1
-9.2396,-1.9452,9.8192,-9.2218,1
5.5814,-2.1198,4.9623,-8.7739,1
-3.2385,0.6699,-7.6968,6.4078,0
4.7844,9.5292,-0.2184,9.5645,1
6.1423,-5.8654,-6.1198,6.9083,1
-4.5266,0.8085,-0.186,3.6894,1
-4.6263,-6.7257,-2.9673,-4.0474,1
9.4413,-2.8525,-0.9522,-2.0401,1
-3.0148,0.7357,-3.3397,4.3037,1
5.4929,-5.3401,4.8166,5.2409,0
8.2017,9.623,5.9186,-1.4405,0
6.4015,-7.4644,-0.4214,4.1744,1
-9.9985,-1.0454,0.5324,-5.5875,1
9.7801,9.3353,0.3512,-4.4826,0
-5.394,8.1591,-9.3727,0.514,0
-8.1893,-8.0162,9.265,-0.8855,0
5.276,-8.3474,-0.7713,2.219,1
7.4261,-8.6858,6.5181,-0.1121,1
-4.6427,3.8286,3.6383,-0.1034,0
3.3146,-4.7178,-1.9829,-7.2403,0
4.8711,1.8912,5.9511,-3.4165,1
6.7601,-1.7119,8.8925,-1.2314,0
-5.7121,-9.2399,6.5952,-8.8543,1
-5.0711,-0.5847,-4.4775,8.8844,0
2.8305,3.4917,1.1925,0.9877,0
2.2828,-2.2743,8.4259,-9.2487,1
-6.4813,3.1445,1.1074,-8.6805,0
-1.1382,-3.8603,6.9731,5.6064,0
0.0622,1.637,4.9685,-6.5893,0
-0.4366,5.7491,-3.6688,0.7992,1
4.3731,-4.2028,-5.2496,2.0349,0
-1.6518,8.4878,2.4798,-2.8696,0
-6.4468,1.3843,-4.7806,8.9634,1
-0.8742,0.657,-0.2334,7.3345,1
-1.1887,0.3724,-2.4679,8.6609,1
1.633,6.5453,0.2768,-7.3081,0
0.9849,6.2559,-2.7087,1.9499,0
9.7924,7.9637,8.3121,-1.8788,0
-8.9129,4.293,5.016,-2.1431,1
-1.1826,-1.9974,-4.0315,-1.5257,0
-5.3852,9.2013,2.2047,4.6252,1
7.6044,-5.6568,-1.5931,8.8219,0
4.3689,4.9507,-7.4035,0.0893,0
4.3359,0.7938,-5.5424,-8.4684,1
1.401,3.2375,3.2837,-0.0355,1
-9.4635,-4.6027,-0.1972,9.4769,1
6.223,7.7585,-5.4111,-8.4113,1
6.8605,-9.6784,4.5964,-2.0073,0
7.9476,9.0604,-9.1729,-2.5743,0
-2.7167,1.3477,7.1668,-1.353,0
0.3149,-4.8729,-3.1847,-7.1284,0
-9.0767,-5.2326,-2.9572,4.359,0
-8.5447,-7.5958,-7.5229,7.8034,1
-1.0759,-3.6164,-1.1136,3.9026,0
-7.45,6.5093,-8.1146,-2.2745,1
-9.3701,7.8651,-3.41,0.2823,1
-7.0673,-7.1849,3.0032,-2.7825,1
-4.481,-5.8872,-5.1517,-7.5661,0
-8.0541,9.0568,-4.4014,4.9206,0
-3.2262,-3.6334,1.0454,3.6564,0
1.7209,-7.2213,-9.379,-0.9105,0
-3.9925,-1.003,9.9079,1.596,1
9.6764,-4.8071,4.7065,-5.5484,1
-5.2634,-6.0509,2.3888,5.2315,0
4.5245,6.6339,6.8507,-7.7536,0
5.643,7.2155,-8.5525,-0.2192,0
-1.4232,-5.1168,7.6024,-2.1555,0
-3.1392,-1.7178,-3.7991,-0.6037,1
-3.8521,-3.8399,-1.0707,4.5071,1
-5.9234,-7.3796,-0.8129,-2.6227,1
-5.3709,-3.8071,0.9296,-4.4697,0
-4.5044,-7.8638,-9.8064,-3.596,0
8.7266,-8.5554,-9.0206,-7.3789,0
7.3333,4.579,0.7466,-0.4039,1
-2.0757,-2.9789,8.1534,-9.3496,0
-3.298,4.0937,-9.326,-1.5288,1
7.0355,2.8311,-4.6098,5.748,1
-6.5462,1.4246,0.8547,4.2475,0
7.9365,9.7852,7.3311,1.7982,1
-2.6659,-0.6497,7.9786,-5.6546,1
-0.7043,-7.4194,-6.7981,-2.7204,1
8.3596,6.8822,-4.4711,-4.6783,1
-9.7464,-4.7421,-4.3776,-7.8681,0
5.1557,-6.9529,3.1517,8.449,1
6.9104,-2.0615,-7.2838,9.9979,0
-4.4618,4.4005,1.9456,7.5937,0
4.5885,-3.5268,-7.5987,-4.3631,1
-4.3379,-1.6219,1.531,-4.9573,0
-7.4427,2.2359,4.7775,7.6315,1
5.2172,8.0715,-1.1566,-2.6159,0
-3.2665,2.634,2.1026,4.5158,1
-0.1796,1.4465,9.7775,1.1019,0
-5.0365,-7.3717,-9.1362,4.0898,1
9.6745,-7.79,0.1446,-6.3172,0
-5.1813,7.9047,9.4541,8.6537,0
3.0864,-8.5129,-6.4152,-9.606,0
2.2219,-7.3775,-4.2742,6.8754,0
5.3586,-9.8828,7.891,-5.6476,1
-0.2669,-1.0338,-6.268,3.9077,1
-8.5254,-7.3382,3.3466,3.2514,1
9.7581,9.2031,8.9844,-7.3008,1
-1.6333,-6.292,8.3017,2.3185,1
5.5575,1.6189,-5.8679,-7.1474,0
-8.5665,9.5346,2.0442,6.5865,1
3.7572,3.1212,-9.2316,-3.999,0
-2.2479,-0.3827,-7.4031,5.4365,1
-5.9162,-1.3116,-0.3293,-8.1294,0
-4.0031,9.0687,-7.541,5.799,1
2.9768,-4.4209,-9.5264,-0.476,1
8.479,2.4861,-6.9425,-8.8763,1
-2.9127,6.9319,6.085,-9.673,0
-8.4599,2.1675,-2.4273,-6.0071,0
4.8026,6.0607,-7.6997,-1.3525,1
2.8807,8.3812,3.7089,0.3524,0
5.613,-6.0088,8.9197,9.6167,0
2.8992,-4.1912,-1.714,-9.4897,0
-9.9902,0.048,9.7105,-8.0308,1
6.7962,2.1534,7.4461,-3.4307,1
7.5107,-3.5926,7.5058,4.5899,1
0.8678,5.4862,-9.1808,1.6231,1
-9.9336,-0.2041,-9.4226,-0.326,0
7.9551,0.7267,-3.4269,-8.0722,0
-0.5832,-3.5943,0.5517,8.8709,1
8.9877,8.9034,1.9929,-6.2862,0
8.3677,-0.4324,9.3072,-0.7701,0
2.475,8.3221,-5.3258,-3.3906,1
-2.0615,6.6771,7.3153,-3.2943,0
6.8709,-7.1636,1.9455,-3.1843,1
5.2295,7.8056,4.9061,-3.8371,1
-6.2718,6.7025,9.3016,5.9108,0
-2.3473,3.3153,9.6823,4.5856,0
3.7341,1.5455,-4.4721,3.8497,1
-8.619,-7.777,-6.1076,7.2435,0
9.8196,-7.9265,4.7423,9.4522,0
-0.9659,0.6787,4.2907,9.8479,0
9.6992,-3.9156,-4.4513,4.0552,0
5.2094,-5.0364,5.285,-5.7579,1
6.4573,-5.8373,-3.5163,-2.4319,0
9.1814,1.613,9.6124,5.9465,0
1.6279,0.6973,-7.1386,5.7754,0
-6.4846,2.3944,8.4802,4.0298,1
-6.3123,-6.4284,-7.5075,5.3861,1
-2.3056,-0.4286,-0.1126,5.6453,0
7.9705,3.3341,4.2066,4.5822,1
5.0335,-1.1479,-6.9693,-9.7935,1
1.5102,0.6975,0.5194,4.4529,0
8.4454,-3.3538,7.0602,-2.2618,1
-2.4324,-8.7586,5.0253,-2.117,0
8.8418,-2.3558,-5.7226,2.6748,1
3.4299,-7.5588,-3.6588,-7.01,0
2.4845,5.6503,-7.8966,-2.9391,1
-5.0489,-3.2663,-4.5164,-3.6543,1
9.7336,-1.8839,-5.1897,-7.7906,0
-8.2692,9.3388,-3.8681,-4.7951,1
-4.5047,-9.7269,9.7535,-5.1602,1
5.3195,-6.4136,7.1866,3.2079,1
-5.7543,6.4076,1.5616,-2.3176,1
-5.9813,7.0689,6.7034,2.7587,0
-7.7506,-3.61,-2.1522,7.5722,0
9.6415,9.1907,5.4528,9.828,1
7.8437,-4.7398,-0.6949,-7.0445,0
5.8064,8.9717,6.118,2.2208,0
